Ek rikshawalle ko dhoond raha hoon. Umr hogi kuch pachees-chabees saal. Patla sa hain, daadi baniye hui hain. | STD
hai mujhe  Laakh rupye ka inaam hai mere sar pe | STD
Tere sar pe | STD
Aur nunni pe  | STD
Khalu utho na | STD
Sone de namuraad Raat bhar ka jaaga hoon Bus abhee tuk aankh lagi hai | STD
Kahan tha tu raat bhar | STD
Kaam pe | STD
Kya hua | STD
Haar churane nikla tha Heera | STD
Kya kiya toonay | STD
Kiya nahi karna hai | STD
Zabardast plan hai | STD
Kya | STD
Kya nahi Khalu kitna poochho Kam se kam paanch karod aayega apne haath | STD
Kis haramipan pe utra hai tu haan | STD
Pehle ye batao ki tum plan mein ho | STD
Kaan aankh naak sab khol ke sun le | STD
gar Begum pe zara see bhee aanch aayi toh jibah kar doonga tujhe  Samjha | STD
Pehle bhee dekha hai tumhe ishq mein andha bavla hotay huay par chootiya hotay pehli baar dekh riya hoon | EUP
Shukriya | HUM
Batane ke liye ki iss baar hum manzil ke kareeb hain Chhathe makaam par | HUM
Saat makaam hotay hain ishq mein | STD
Dilkashi uns muhabbat akidat ibadat junoon Junoon matlab chootiyapa | HUM
Jis din ussay tumhari asliyat pataa  chalegi na Khalu tumhare saaton makaamo kee batti bana ke haath me degi tumhare | HUM
Aisa kabhi nahi hoga | STD
Kyun Kyun nahi hoga | STD
Kyunki iss baar ishq sachcha hai | HUM
Hamara bhee aur unka bhee | HUM
Achha Toh jaao aur bataa do unhe | HUM
apni sachchai | STD
Jaao | STD
Haan  toh jaunga na | STD
Toh jao na | STD
Haan toh jaa raha hoon na | STD
Paani garam toh honay de | STD
Aur ghumao Aur thoda Darwaze ke paas | STD
Bibi Para jaan nazar nahi aa rahi | HUM
hain kahin | HUM
Inki to maa ka saala Inki ma ka… | STD
Meri maan, aaj rehne de. Aaj mood theek na hai bhai ka | STD
To main theek karti hoon na mood | STD
Arey | STD
Paagal ae? Pher na kariyo, samjhi? | WUP
Hmm. Samajh gayee. | STD
Kaha baat hai? | STD
Tumne kaha tha mere liye kapde lene Aadoo ne bataya | STD
Acting mat karo, bahot achchi lag rahi hoon main | STD
Ye kaun sa gaana hai? | STD
Haan? | STD
Tujhe kaam ka hai? | WUP
Mujhe ye gaana sunna hai Ye kaam hai | STD
Dekh tu abhi chali ja. Chal | STD
Mahabir Bhaati | STD
Bahot achchi tune hai ye | STD
Kyon bataoon main? Hain? | STD
Ab to zaroor jaanna hai mujhe. Kaun sa gaana hai? | STD
Gaana na hai | WUP
To phir? Gaana nahin hai to tumne kahan suna? | STD
Meri ma gaati thi | STD
Really? Wow Tumhaare liye gaati theen? Haan? Bolo na please | STD
Arey haan mere liye gaati thi Vo kaam karti thi to | STD
main uske saath hota tha to main rota tha to vo gaati thi Ho gaya? | STD
Tum rote the? Oh | STD
To tumhaari mother tumhaare saath hi rehti hain? | STD
Chal, bahot ho gaya, bhittarr ja. Chal uth | WUP
Kya hai na, mera mood nahin hai jaane ka. | STD
Bahot par nikal aaye hain tere? | STD
Hai na? Aur darr to bilkul khatm ho gaya hai. | STD
Aur bura mat manna magar ab to kaafi cute lagne lage ho tum mujhe | STD
Achcha rote kyon thhe tum? Haan? Batao na? Kaun tang karta tha baba ko? | STD
nahin poochoongi Promise nahin poochoongi Suno to | STD
Tumhaari mother | STD
Kya bulaate ho tum unko? | STD
Amma | STD
Hmm To Amma vo theek to hain na? | STD
Tumhein mujhse promise karna hoga Mahabir, ki ye sab khatam hote hi tum unse miloge. Kahan hain vo? | STD
Gaam mein | WUP
To tum gaon ja kar unse miloge. Theek hai? | STD
Haan? | STD
Ye waala | STD
Aa ja | STD
Bahot sahi bhai | STD
Tum ja rahe ho? | STD
Khayaal rakhna | STD
Phir milenge | STD
Vaan dekh Police s-tation ae? | WUP
Bheetar ja ke s-tation incharge se mil | WUP
Apna naam bata, aur pitaji ka naam | STD
Bol tu vohi hai jaaka Dilli se kidnap hua… | WUP
Tum jaante ho main nahin jaoongi | STD
Aur ya phaun le apna Ghar phaun kar liyo | WUP
Sunai nahin de raha hai? Main nahin jaoongi. | STD
Nahin jayegi to kaaha karegi hain? Shaadi karegi mere se? | WUP
Ye achanak kya ho jaata hai tumhein? Ye kya scene create kar rahe ho? | STD
Kaaha karegi tu mere saath? Kaaha karegi tu jaanti nahin main kaun oon? | WUP
Vohi to baat hai Main jaanti hoon tum kaun ho | STD
Teen khoon kiye hain maine Theek hai? Maine Yo haath… yaa se, ya… | WUP
Mari jindagi khatam ae kuch na ho sake ae, theek na ho sake, bas mar jaoonga… Tu mud ja… Dil se dua hai tere liye | WUP
Kaise Mahabir? | STD
Dekh main keh raha hoon chali ja Baot bura ho jaaga, chali ja | STD
Kya kahaani hai tumhaari Mahabir? Kaise ho gaya ye sab? | WUP
Chup, chup Munh band kar aur ja police station. | STD
Nahin jaoongi. Kya kar loge? | STD
Chup chaap chal | STD
Bahot taaqat hai? Bahot taaqat hai? | STD
Ae main bata raha hoon dimagh kharaab mat kar | STD
Nahin jaoongi nahin jaoongi. Mera bhi khoon kar do | STD
Mahabir, ruko | STD
Paagal ho gaye ho? | STD
Ek second Mujhe ek call karni hai. | STD
Bus stand kahan hai bhai saab? Chandigarh ki bus kahan milegi? | STD
Ek baat tum samajh lo Mahabir Jo bhi hona hai na | STD
vo tum akele nahin decide kar sakte, samjhe? Tumhein mujhse | STD
Vahan ja ke khadi ho ja, bench ke paas. | WUP
Bachche paalne ka plan nahin hai | STD
Shaadi ka bhi nahin hai. Plan nahin hai Bas aisa lag raha hai ki thoda aur thodi door aur | STD
Thoda aur time – tumhaare saath Maine kabhi aisa kabhi feel nahin kiya hai na | STD
ki main jo chaahe kar sakti hoon, jaise chaahe reh sakti hoon kyonki tum samhaal loge. | STD
Maine kabhi aisa feel nahin kiya hai. Magar tum phans jaoge | STD
Pehle vo soch rahe the ki hum shayad Calcutta mein hain. Ab unhein pata chal jayega hum is area mein hain. | STD
Ab koi chance nahin hai bachne ka, hai na? Haan? | STD
Shit yaar Sab kharaab ho gaya. | STD
Kya karein? Bolo | STD
Mera khayaal oopar chalte hain | STD
Haan? | STD
Chhat par Chalegi? | STD
Magar hum aage | STD
Kitta baat karegi? Chal | STD
Yaar tumne kabhi bataya nahin ki duniya aisi bhi hai | STD
Kya hua? Maine bhi nahin bataya tha ki main aisi hoon? | STD
Mujhe khud kahan pata tha? Magar hoon To hoon. | STD
Theek hoon So jao | STD
Takleef utha rahi hai bahot | HUM
Jaanta hoon main | STD
Takleef to hai, jhoot nahin boloongi. | HUM
Par abhi kaa kar sake hain? | WUP
Main kuch karoon? | STD
Hmm? Kaa? | WUP
Hmm Ab koi takleef nahin ho rahi. | HUM
Tumko ho rahi hai? | STD
Haan? | STD
Takleef? | HUM
Nahin | STD
Aur agar main tumhaare baazu par sar rakh doon, usmein koi takleef hai? | HUM
Main bataati hoon. | STD
Aise. Takleef hai? | HUM
Haan? | STD
Nahin. So ja. | STD
Kaha dekha kare hai itte ghor se? | WUP
Tumhein pahaad pasand hain ya samundar? | STD
Samandar na dekha hai maine. | WUP
Mujhe bhi pahaad pasand hain. | STD
Ab jaise vo hai Aisa lag raha hai jaise vo bula raha hai mujhe | STD
Chal | STD
Hum vahan jayenge? | STD
Aur koi plaan hai? | STD
Nahin | STD
To chal | STD
Chal | STD
Ek second ke liye yaar | STD
Ho gaya? Vaapas de. | STD
Haan theek hai de de. | STD
Veera	Power hai boss | BOM
Thappad maroonga | STD
Arey? | STD
Matlab khelne ki cheej thodi hai La de | STD
Achcha ek baat batao Ek goli mein aadmi khatam ho jaata hai na? | STD
Do aadmi. Ja par chale hai.. Aur jo chalaye hai Bahot buri cheej hai | WUP
